Sigma;Epsilon;Void;Energy
6.64017;0.26814687;0.563970139;-0.001855734
11.95231;0.267947248;0.564396731;-0.030081096
23.90462;0.266269408;0.567982275;0.045890898
49.13726;0.267525972;0.565296998;0.372140057
99.15989;0.272544815;0.55457173;1.040151606
198.7866;0.279526952;0.539650904;2.198672235
399.0351;0.286882564;0.523931961;2.298387746
599.5085;0.291486044;0.514094324;2.823262116
798.9006;0.295523864;0.505465503;5.309562237
999.5671;0.301428404;0.492847501;6.627350471
1198.772;0.30745782;0.479962639;11.78240635
1499.351;0.3161916;0.461298551;-2.417591482
